Created Time,Last Modified Time,Company Name,Salutation,First Name,Last Name,Phone,Currency Code,Status,Bank Account Payment,Portal Enabled,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,GST Treatment,GST Identification Number (GSTIN),EmailID,Country Code,MobilePhone,Place Of Contact,Place of Contact(With State Code)
2021-09-22 00:24:33,2021-09-22 00:33:23,QBRAINX INDIA PRIVATE LIMITED,Kannan,,,,INR,Active,false,false,"SF NO.559/4, D BLOCK, HANUDEV INFOPARK PVT LTD,, UDAYAMPALAYAM ROAD, NAVA INDIA",,Coimbatore,,India,641028,business_gst,33AAACQ6098H1Z9,kannan.v@qbrainx.com,,,TN,33-Tamil Nadu
2021-11-13 23:29:35,2024-01-20 22:41:26,CISO Institute of Oceanic Studies Pvt Ltd,,,,,INR,Active,false,false,"Punnayur, Panchavadi Beach
Edakkazhiyur",,Thrissur,Kerala,India,680515,business_gst,32AADCC2386D1Z3,it@marineworld.in,+91,8589980541,KL,32-Kerala
2021-11-16 15:04:10,2022-03-04 21:22:24,House of Blue Beans Interactive Media Pvt Ltd,,,,,INR,Active,false,false,"3rd Floor Victoria Annex
314/6 Patel Rama Reddy Road
Domlur Layout",,Bangalore,Karnataka,India,560071,business_gst,29AADCH5773R1ZN,kaushik.v@houseofbluebeans.com,+91,9880806210,KA,29-Karnataka
2021-12-22 19:38:05,2025-05-29 00:33:49,ALAMAT Trading,,,,+97444509070,INR,Active,false,false,"Office No 4, Al Hattab Building, 
Salwa Road, Doha",,,Ad Dawhah,Qatar,,overseas,,accounts@alamat.me,+974,44509070,,
2022-02-14 22:20:56,2024-02-07 11:15:23,NKN Ventures,Mr.,Tshering Dorji,,,INR,Active,false,false,"Post Box : 279, Bèlpi Lam-4",,Thimphu,Thimphu,Bhutan,11001,overseas,,tdorji@nknventures.com,,,,
2022-02-22 00:46:31,2024-01-22 21:12:47,GENOVA TECHNOLOGIES,Mr.,Jinesh,,,INR,Active,false,false,"1st Floor, 68/159, Basil Building, 
Horse Ride Road, 
Opp. St. Michels Church, Westhill",,Kozhikode,Kerala,India,673005,business_gst,32AKLPL0387L1ZW,info@genovatechnologies.com,+91, 96332 63624,KL,32-Kerala
2022-03-03 12:04:03,2024-03-05 11:16:16,Pro Partners,Mr.,FUAD PARAKKADAVAN,,,INR,Active,false,false,"Samprasiddhi Greenedge, 
B 310, 2nd B Cross Road 
Shirdhi Sai Rathan Layout, 
Rachenahalli Off Thannisandra Main Road Hegde Nagar,",,Bengaluru,Karnataka,India,560077,business_gst,29AMWPP0422B1Z1,fuad@propartners.group,+91, 98443 83456,KA,29-Karnataka
2022-05-07 11:51:08,2023-09-13 17:35:58,MIRAMAX Communication,Mr.,Manish Vaghella,,,INR,Active,false,true,P O Box 39380-00623,,Parkland,Nairobi,Kenya,,overseas,,manish@vaghella.com,254,733938333,,
2022-05-07 22:16:30,2025-09-01 15:43:59,NALAKATH GRANITES,,,,,INR,Active,false,false,"Poopalam,Valamboor Post
Pattikad Via, Perinthalmanna",,Malappuram,Kerala,India,679325,business_gst,32AAIFN6386N1ZO,accounts@nalakathgranites.com,,9744794400,KL,32-Kerala
2022-05-08 00:18:29,2025-05-21 14:04:09,ALTERNATIVE INVESTMENTS AND CREDITS LIMITED,,,,,INR,Active,false,false,"Room No.40,3 rd Floor, 
CD TOWER, Mini Bypass Road, Eranhippalam Bye-Pass, 
Arayidathupalam",,Kozhikode,Kerala,India,673004,business_gst,32AADCA4072A1ZG,info@aicl-india.com,+91,9539677886,KL,32-Kerala
2022-05-23 10:49:42,2024-05-28 12:10:23,Galaxy Laundry and Dry Cleaners,,,,,INR,Active,false,false,1712,,Abu DHabi,Abu Dhabi,United Arab Emirates,1712,overseas,,mail@galaxylaundry.ae,+971,506329281,,
2022-06-07 00:40:00,2023-12-11 19:01:42,AUF WAY LLP,,,,,INR,Active,false,false,"13/22/F7, Chullikkaparambu
Cheruvadi, Mavoor Post",,Kozhikode,Kerala,India,673661,business_gst,32ABXFA1730B1ZV,info@aufway.co,+91,8592024111,KL,32-Kerala
2022-06-19 23:38:28,2025-07-18 09:44:40,Evolv Trading W.L.L,,,,,INR,Active,false,false,"P O Box 11622
Salwa Road",,Doha,Ad Dawhah,Qatar,00000,overseas,,shameemsa@gmail.com,,,,
2022-06-20 12:34:22,2023-04-18 00:23:29,AMALGAMATE Technology,,,,,INR,Active,false,false,"P.B: 9800, Office Room No: 102,
Building Number 59",Al eez Commercial Complex,,Ad Dawhah,Qatar,,overseas,,info@amalgamatetechnologies.com,+91, 99463 60134,,
2022-06-23 12:31:28,2022-06-27 17:26:57,LAMIT ROOF TECH (INDIA) PVT LTD,,,,,INR,Active,false,false,"8/891/Z-17, VBC Tower
Rajeev Gandhi Bypass Road
Manjeri",,Malappuram,Kerala,India,676517,business_gst,32AACCL4721C1Z6,branding.lamit@gmail.com,+91, 75930 07500,KL,32-Kerala
2022-06-27 00:08:42,2025-11-20 14:33:43,Advanced Care Medical Center,,,,,INR,Active,false,false,"Office # 1, Al Saud Building,",Industrial Area-17,Muwaileh,Sharjah,United Arab Emirates,,overseas,,accounts@acuae.org,+971,554629442,,
2022-07-01 12:21:51,2025-08-02 13:46:17,AZURE END TO END SOLUTIONS PRIVATE LIMITED,,,,,INR,Active,false,false,"No 17 & 18, 19th Cross Road, 5th Block,",HBR  Layout,Bangalore,Karnataka,India,560043,business_gst,29AALCA1025H1ZU,accounts@azureits.com,+91,8095763665,KA,29-Karnataka
2022-07-27 21:01:38,2024-08-29 06:53:08,RBN Group Co. WLL.,,,,,INR,Active,false,false,"PB No: 202425
Building No 9, Street No 744",Muaither North,,Ad Dawhah,Qatar,,overseas,,info@rbnsoft.com,+974,44983386,,
2022-08-04 16:19:18,2025-03-09 19:27:25,ELLORA GROUP WLL,,,,,INR,Active,false,false,"PB NO.13873
Street 32, Wakalath street",,,Ad Dawhah,Qatar,,overseas,,info@elloragroupwll.com,+974,55042939,,
2022-08-07 12:44:56,2024-10-05 09:52:25,Klean Care Hygiene Solutions Trading Co,,,,,INR,Active,false,false,AL Muhammediya,,,Dammam,Saudi Arabia,,overseas,,info@kleancarehygiene.com,+966,596466022,,
2022-08-07 12:51:49,2025-11-02 23:39:15,Pillar of Excellence Trading Co,,,,,INR,Active,false,false,,,,Al Khobar,Saudi Arabia,,overseas,,info@pillarsaudi.com,,,,
2022-08-19 10:21:32,2023-08-19 11:11:15,Riya Tours & Travels,,,,,INR,Active,false,false,Batha Commercial Centre,Riyadh,,Ar Riyad,Saudi Arabia,,overseas,,info@riyaonline.com,+91,9995738566,,
2022-08-27 12:12:03,2022-08-31 17:27:23,CW Resources,,,,,INR,Active,false,false,"Khan Tower (Floor-09, 10 & 11), Sonargaon Janapath","Sector 11, Uttara",Dhaka,Dhaka bibhag,Bangladesh,1230,overseas,,towfiquehshovon@gmail.com,+880, 1932-527268,,
2022-08-31 17:23:11,2024-07-19 14:41:55,Talents Tree Care,,,,,INR,Active,false,false,"25 east paddock court
Northampton 
NN38LF",,,Northamptonshire,United Kingdom,,overseas,,manager@talentstree.co.uk,+44,7883638102,,
2022-09-13 20:53:01,2024-12-16 11:27:10,WOODENBOX Interiors Design LLC,,,,,INR,Active,false,false,"Warehouse No. 01/14
Ras Al Khor Industrial Area 2",,,Dubai,United Arab Emirates,,overseas,,accounts@woodenbox.ae,+971,545821967,,
2022-10-11 11:19:00,2023-10-06 18:41:08,EMITAC Stationary and Toner LLC,,,,,INR,Active,false,false,Mohamed Bin Zayed City,,MUSAFFAH,Abu Dhabi,United Arab Emirates,24596,overseas,,mail@emitacuae.com,+971, 52 294 8341,,
2022-10-11 15:16:26,2023-10-10 23:29:46,Marine Logistics Services Est.,,,,,INR,Active,false,false,"1st floor, No. 4, Al Kaseeh Building, P.O. Box 15025, Opp. Halwaani Bros.",,,Jeddah,Saudi Arabia,21444,overseas,,info@zoyon.com,+91, 99952 23922,,
2022-10-12 22:55:29,2025-02-12 10:56:41,Shafeer General Trading LLC,,,,+971 50 451 7678,INR,Active,false,false,"P O Box 18882,
Industrial Area - 1",,,Ajman,United Arab Emirates,,overseas,,info@shafeergroup.com,+971, 52 898 4210,,
2022-10-13 23:26:01,2024-02-15 01:42:40,Al Harmous Contracting General Transporting Establishment,,,,+97128844420,INR,Active,false,false,"P.O Box: 58191
Madinat Zayed (Al Dhafra Region)",,,Abu Dhabi,United Arab Emirates,,overseas,,accounts@alharmous.com,+971,505887637,,
2022-10-15 23:10:15,2025-12-08 09:33:10,Ali Abdulla AlYafei Certified Auditors & Accountants,,,,+97455558125,INR,Active,false,false,"Office No. 2, Al Mana Business Centre, 
Suhaim bin Hamad Street",,,Ad Dawhah,Qatar,,overseas,,info@alyafeiauditors.qa,+974,59900310,,
2022-10-17 23:11:40,2025-10-27 11:33:12,SAFEWAY TRADING EST,,,,,INR,Active,false,false,"PO Box  4628
Dammam",,,,Saudi Arabia,31412,consumer,,sales@safewaytrading.sa,+966,561224686,KL,32-Kerala
2022-10-29 14:45:38,2023-11-17 20:22:27,The Food Containers Ltd,,,,,INR,Active,false,false,8 Alderley rise,,Stoke on Trent,Staffordshire,United Kingdom,ST6 3EN,overseas,,info@thefoodcontainers.co.uk,,,,
2022-10-31 20:36:48,2023-12-14 21:16:03,Comfort Placement,,,,,INR,Active,false,false,Al Adamah,,,Dammam,Saudi Arabia,,overseas,,ismail@comfortplacement.com,+966,535087870,,
2022-11-06 13:06:19,2024-02-24 10:16:37,Gulf Contracts Company,,,,,INR,Active,false,false,"King Abdul Aziz Street,
Cross No.27, Shamaiyah",,Al Khobar,Al Hudud ash Shamaliyah,Saudi Arabia,31952,overseas,,info@gccsaudi.com,,,,
2022-11-18 21:30:20,2025-10-11 01:04:22,AL HADEER GENERAL TRADING LLC,,,,,INR,Active,false,false,"Al Karran, Ras Al Khaimah",,,Ras al-Khaimah,United Arab Emirates,,overseas,,info@hadeerpack.com,+971,504517678,,
2022-11-26 20:01:33,2025-05-05 13:20:50,NEPTON SOFTWARE SOLUTIONS WLL,,,,,INR,Active,false,false,"No.11, Street No.13","Barwa Village,",DOHA,Ad Dawhah,Qatar,,overseas,,shafi@neptonglobal.com,+974,-66191051,,
2022-12-07 01:12:39,2024-03-04 19:09:17,MONOPACK LTD,,,,,INR,Active,false,false,"NIT R05 Regent Works, Lawley Street
Longton, Stoke-On-Trent, ST3 1LZ",,,Staffordshire,United Kingdom,,overseas,,admin@monopackglobal.com,+44,7555960200,,
2022-12-12 18:59:29,2025-10-13 15:21:09,KIMSHEALTH Hospital,,,,,INR,Active,false,false,"P.O Box: 1522, Jibroo, P.C. 114,Darsait, Muscat",,,Masqat,Oman,,overseas,,it@kimshealth.om,+968,99272820,,
2022-12-13 11:42:00,2025-10-14 18:06:20,Hundred Media Advertising LLC,,,,+971551083100,INR,Active,false,false,Al Quoz Industrial Area 4,,,Dubai,United Arab Emirates,,overseas,,accounts@hundredmedia.ae,+971,551083100,,
2022-12-17 20:42:46,2023-03-01 17:42:23,BE ICE,,,,,INR,Active,false,false,,,Doha,Ad Dawhah,Qatar,,overseas,,shameemsa@gmail.com,,,,
2022-12-24 23:59:24,2024-03-04 16:48:36,Aries Global Logistics WLL,,,,,INR,Active,false,false,,,,Ad Dawhah,Qatar,,overseas,,aneespattalam@gmail.com,+974,55720203,,
2023-01-06 11:08:17,2024-01-15 13:20:02,JAIHIND Holidays Ltd,,,,+2349123035151,INR,Active,false,false,"30,Akinola Sholanke Street",,Ajao Estate,Lagos,Nigeria,,overseas,,jaihindlagos@gmail.com,,9045596666,,
2023-01-14 12:46:03,2023-10-17 09:06:53,Pageants (FZE),Mr.,Nithish Ravindran,,,INR,Active,false,false,"SAIF ZONE P08 - 06 -26,
P.O BOX 9679",,,Sharjah,United Arab Emirates,,overseas,,care@gsuite.signroots.com,+91,9633789799,,
2023-01-19 19:51:01,2025-03-09 19:31:05,BOLTEC METAL WORKSHOP,,,,,INR,Active,false,false,"PB NO.13873
Street 32, Wakalath street",,,Ad Dawhah,Qatar,,overseas,,info@boltec-metal.com,,,,
2023-01-26 22:12:22,2024-01-25 22:53:45,I CAPITAL LLC,,,,,INR,Active,false,false,,,,Abu Dhabi,United Arab Emirates,,overseas,,akzafer.amin@gmail.com,,054 4469559,,
2023-03-09 14:04:02,2025-05-28 01:19:27,INFINITE SOLUTIONS,,,,,INR,Active,false,false,"Ground Floor, CC 36/126 64//84A,
Ayyaril Complex, Lissie Junction, Pullepady",,Kochi,Kerala,India,,business_gst,32AWTPT5775E1ZX,sales@infinitecochin.in,,,KL,32-Kerala
2023-03-16 23:54:13,2024-03-16 09:58:11,PureStar Employment,,,,,INR,Active,false,false,"Building No : 164 
Mezzanine Floor",,New Shahama,Abu Dhabi,United Arab Emirates,,overseas,,gm@cornichegroup.co,+91, 98477 98888,,
2023-03-27 13:24:34,2023-11-15 18:28:14,Nalakath Spices & Food Products LLP,,,,,INR,Active,false,false,"7/353/D, Valambur, Perinthalmanna",,Malappuram,Kerala,India,679325,business_gst,32AATFN0003B1Z0,accounts@qspices.in,,,KL,32-Kerala
2023-04-07 20:15:53,2024-04-16 15:40:45,ABLE GROUP W.L.L,,,,,INR,Active,false,false,"P.O. Box No.: 40151
Type 5 (SAYER), Block 30, 2nd Floor",Barwa Commercial Avenue,Doha,Ad Dawhah,Qatar,40151,overseas,,info@ablegroupqatar.com,,,,
2023-04-10 12:06:52,2023-05-15 12:43:45,SAS Arabia,,,,,INR,Active,false,false,Sebaiyah Al-Oraifi-35526,,,Al Jubail,Saudi Arabia,,overseas,,jishadpm@gmail.com,+966,534702144,,
2023-04-18 00:50:35,2025-06-20 17:54:23,Faisal K,,,,,INR,Active,false,false,Vazhakkad,,Malappuram,Kerala,India,673640,consumer,,faisalkkn9946@gmail.com,,,KL,32-Kerala
2023-06-20 00:04:35,2025-03-13 12:20:37,Al Mazaia MEP & IT Solutions LLC,,,,+919539207782,INR,Active,false,false,13024 RAK,,,Ras al-Khaimah,United Arab Emirates,,business_none,,shareef@mazaiauae.com,+971,504773885,KL,32-Kerala
2023-06-20 09:26:26,2023-12-14 20:36:16,Nangsel Pioneers,,,,+975 17 60 42 32,INR,Active,false,false,Babena,,,Thimphu,Bhutan,11001,overseas,,nphuntsho@gmail.com,,+975 77 35 07 41,,
2023-07-02 18:48:42,2023-09-12 12:22:57,Al Nafees Services,,,,,INR,Active,false,false,,,,Ad Dawhah,Qatar,,overseas,,iamrajaie@gmail.com,,,,
2023-07-11 13:23:50,2023-07-18 09:54:26,JOSONS,,Manu D Parakkal,,,INR,Active,false,false,"Parakkal Building, Aluva",,Ernakulam,Kerala,India,683101,business_registered_composition,32AABFJ6477F1ZG,manudparakkal@gmail.com,,9447029905,KL,32-Kerala
2023-08-05 17:51:56,2025-08-13 13:31:04,Shael Trading Company WLL,,,,,INR,Active,false,false,"Kuwait- Dasman Area,
Block 1 - Street No. 17 - Plot No. 800060",,Safat,Al Kuwayt,Kuwait,,overseas,,eng.dept@shaeltrading.com,,,,
2023-08-21 23:57:28,2025-09-01 12:14:27,EAGLEARABIA FABRICATION FACTORY,,,,,INR,Active,false,false,"5022 7th street, King Fahd Industrial Port",,Al Jubail,Ash Sharqiyah,Saudi Arabia,35526,overseas,,accounts@eaglearabia.com,+966,508471145,,
2023-08-29 00:05:49,2023-08-29 22:58:47,Advanced Security System Est.,,,,,INR,Active,false,false,Old Makkah Road - Kilo 6,,Jeddah,,Saudi Arabia,,overseas,,aslamkpmdy@gmail.com,+91, 99460 99846,,
2023-09-05 13:01:40,2024-10-11 17:03:26,IntPurple Technologies LLP,,,,,INR,Active,false,false,"TBI NIT, Calicut Mukkam Road, 
National Institute of Technology Calicut, Poolacode.",,Kozhikode,Kerala,India,673601,business_gst,32AAIFI2031D1Z4,accounts@intpurple.com,+91,9731066055,KL,32-Kerala
2023-09-17 23:41:25,2023-09-23 17:31:28,Leaf Associates Accounting Services Est,,,,,INR,Active,false,false,"Office No. 113-3, RKM Building
Al  Karama",,Dubai,Dubai,United Arab Emirates,,overseas,,accounts@leafuae.com,+971, 50 851 6200,,
2023-10-06 19:00:05,2025-06-28 11:16:00,Al Taqwa Electrical Ware Trading L.L.C,,,,,INR,Active,false,false,Post Box NO: 67864,,,Sharjah,United Arab Emirates,,overseas,,,+971, 58 103 5935,,
2023-10-07 12:25:29,2025-10-13 11:11:47,HAMAD INDUSTRIAL SUPPLY,,,,,INR,Active,false,false,"Al Jubail 31961, KSA",,,Ash Sharqiyah,Saudi Arabia,,overseas,,accounts@hamadindustrial.com,+966,563615123,,
2023-10-26 10:06:57,2025-11-20 10:05:49,EVERLAST HOST,Mr.,Niyaz Kannnanchery,,,INR,Active,false,false,"B 16, Zone 91, Street 3088, 
BIRKAT AL AWAMER",,Doha,Ad Dawhah,Qatar,,overseas,,niyazofficial@gmail.com,+974,74467331,,
2023-11-03 23:51:51,2025-10-29 13:57:47,Rational Star Technical Services LLC,,,,,INR,Active,false,false,"Kandampully House, Vadakkekad",,Thrissur,Kerala,India,679562,consumer,,adiinnovationds@gmail.com,,,KL,32-Kerala
2023-11-07 16:11:29,2025-11-05 17:48:32,INZPIRE TECHNOLOGY L.L.C,,,,+97143864 886,INR,Active,false,false,12 Al Ittihad Rd - Al Khabaisi,,,Dubai,United Arab Emirates,,overseas,,hariz@inzpiretech.com,+971,553173837,,
2023-11-14 23:08:21,2024-02-08 12:33:50,TABAYUN Human Resources Consultancies Co. LLC,,,,,INR,Active,false,false,,,,,United Arab Emirates,,overseas,,babalfozz@gmail.com,+971, 52 162 4343,,
2023-11-20 00:17:14,2025-11-24 12:54:17,RTN Computers LLC,,,,,INR,Active,false,false,"P.O.Box: 26436, Near GGICO Metro Station",,,Dubai,United Arab Emirates,,overseas,,sales@cartridgerefill.ae,+971,7649453,,
2023-11-22 13:28:15,2025-10-21 19:56:19,ORUMA Events International,,,,,INR,Active,false,false,,,,,Kuwait,,overseas,,naisamcp@gmail.com,,,,
2023-11-23 00:40:42,2024-08-12 18:51:47,Al Muzahem Technical Services,,,,,INR,Active,false,false,,,,Dubai,United Arab Emirates,,overseas,,info@almuzahem.com,+971,563020824,,
2023-12-02 21:23:28,2023-12-21 17:33:03,Adems Travel,,,,,INR,Active,false,false,"Umm Salal Muhammed, 
PO Box: 200167",,,Ad Dawhah,Qatar,,overseas,,info@zoyon.com,,,,
2023-12-04 14:45:21,2025-10-09 16:51:21,XO TECH TRADING,,,,,INR,Active,false,false,"Nilambur · Hindustan Enterprises Palace Road, Nilambur",,Malappuram,Kerala,India,679329,consumer,,hello@xotech.studio,+91,9961543503,KL,32-Kerala
2023-12-06 14:50:11,2023-12-07 13:47:19,BG PACK,,,,,INR,Active,false,false,"94M/6, CHUNGAM, 
SOUTH ADUVASSERY, PARAVUR",,Ernakulam,Kerala,India,683578,business_gst,32AAYFB7890D1Z2,mail@bgpack.in,+91, 70253 53511,KL,32-Kerala
2023-12-14 10:51:21,2023-12-21 21:29:40,PURPOSE FIRST Management Consultancy FZCO,,,,,INR,Active,false,false,"A1, Dubai Silicon Oasis, DDP",,,Dubai,United Arab Emirates,,overseas,,afsaljalal@gmail.com,,,,
2023-12-14 20:20:12,2025-09-13 17:35:22,PRO UNION,,,,,INR,Active,false,false,"Uyun Al Jawa, Al Faisaliyah District, Dammam 32272",,,Dammam,Saudi Arabia,,overseas,,info@hanzandpartners.com,+966,538531051,,
2023-12-15 18:58:48,2023-12-19 10:53:23,Northern Lights Trans Inc.,,,,,INR,Active,false,false,"1050 MAIN ST E, 524 L9T 9M3",,,Ontario,Canada,,overseas,,abinbabu.c@gmail.com,+91, 96056 85964,,
2023-12-20 19:08:03,2024-01-07 00:29:04,LABRILO Restaurant,,,,,INR,Active,false,false,,,,,Saudi Arabia,,overseas,,azeezinma@gmail.com,,,,
2023-12-20 20:23:20,2023-12-21 21:29:12,Discovery Metals FZC,,,,,INR,Active,false,false,"Munah Street, Industrial Area# 1",,,Ajman,United Arab Emirates,,overseas,,afsaljalal@gmail.com,,,,
2023-12-21 11:10:22,2024-01-18 19:37:43,Bellamax International Trading WLL,,,,,INR,Active,false,false,"Office No D2-219, M Floor,",Dragon Mart Industrial Area Road,,Ad Dawhah,Qatar,,overseas,,rahmath@bellamaxinternational.com,+974,66931871,,
2023-12-21 17:51:25,2025-10-30 19:33:58,DAKAT Computer Trading LLC,,,,,INR,Active,false,false,"Computer Plaza AlFahidi,
Bur Dubai, 9717",,,Dubai,United Arab Emirates,,overseas,,accounts@dakatcomputers.com,+971,509433645,,
2024-01-01 15:59:59,2025-10-31 01:50:41,WEBENLIVE IT Solutions,,,,,INR,Active,false,false,"#11 Room No13, Barwa Village Building,
Al Wakra Road",,,Ad Dawhah,Qatar,,overseas,,webenlive@gmail.com,+91,9947119910,,
2024-01-03 13:44:13,2025-01-01 12:08:47,MECHELEC,,,,,INR,Active,false,false,"Dune Centre, Near Bhavana Theatre
Kunnamkulam",,Thrissur,Kerala,India,,business_gst,32AATFM9616R1ZB,info@mechelec.co,+91, 99461 05897,KL,32-Kerala
2024-01-03 17:24:18,2025-01-01 16:06:52,Royal Malabar Restaurant,,,,,INR,Active,false,false,"2055, 18th - As Salam - Corniche Road",,Dammam,Al Hudud ash Shamaliyah,Saudi Arabia,32416,overseas,,azeezinma@gmail.com,+966,503328281,,
2024-01-06 14:41:29,2024-01-17 15:39:17,AWAEL AL NOOR General Contracting EST,,,,,INR,Active,false,false,P.O.Box 35514 - 9174,,Jubail,Al Hudud ash Shamaliyah,Saudi Arabia,31951,overseas,,shineabduljaleel@gmail.com,,,,
2024-01-06 16:06:08,2024-01-07 15:39:22,Eminens Consulting,,,,,INR,Active,false,false,,,,Al Hudud ash Shamaliyah,Saudi Arabia,,overseas,,info@zoyon.com,,,,
2024-01-10 12:17:56,2024-01-11 11:31:28,ARAFATH AND ASSOCIATES PRIVATE LIMITED,,,,,INR,Active,false,false,5/2340A. Ashokapuram P. O,,Kozhikode,Kerala,India,673001,business_gst,32AAMCA4538Q1Z7,mail@arafathassociates.com,+91,9656229988,KL,32-Kerala
2024-01-17 17:19:36,2024-01-17 20:17:32,ZABEEN,,,,,INR,Active,false,false,,,,Birmingham,United Kingdom,,overseas,,asifc.88@gmail.com,,,,
2024-01-21 13:36:44,2024-02-02 18:24:03,TOTAL SECURE LLC,,,,+97142632622,INR,Active,false,false,"S04, Ground Floor
Plot 39 Mussaffa Industrial M 15",,,Abu Dhabi,United Arab Emirates,,overseas,,accounts@totalsecureme.com,+971,504430224,,
2024-01-26 20:56:37,2024-02-14 10:23:21,NEPTON SOFTWARE SOLUTIONS,,,,,INR,Active,false,false,"3rd Floor, Al Manara Building",,Malappuram,Kerala,India,676519,business_gst,32APQPM8501F1ZX,accounts@neptonglobal.com,,,KL,32-Kerala
2024-02-01 00:21:07,2025-02-12 10:32:47,SHARQIA General Trading LLC,,,,,INR,Active,false,false,"P O Box 18882, Industrial Area 1",,,Ajman,United Arab Emirates,,overseas,,sharqiaemirates@gmail.com,,,,
2024-02-01 21:32:57,2024-02-05 18:32:12,DEEPBLUE Technical Services,,,,,INR,Active,false,false,Al Gusais,,,Dubai,United Arab Emirates,,overseas,,deepblue.dubai@gmail.com,+971,557602290,,
2024-02-04 12:08:34,2024-02-13 18:54:14,GLS Laboratory,,,,,INR,Active,false,false,"28 Greville Street,
Hatton Garden,",,London EC1N 8SU,London,United Kingdom,,overseas,,nithish@cactusprosoft.com,,,,
2024-02-05 17:42:30,2024-02-06 20:23:15,Grand Expertise Trading Company,,,,,INR,Active,false,false,"Al Amal Centre, Al Aziziyah District",,,Al Hudud ash Shamaliyah,Saudi Arabia,8228,overseas,,azhad.harris@gmail.com,+966,534340241,,
2024-02-07 00:38:46,2024-02-07 09:24:49,Gulf Vision General Contracting Est.,,,,,INR,Active,false,false,"Al Asher, Madinat Al Ummal",,Dammam,,Saudi Arabia,32253,overseas,,info@gulfvisionksa.com,+966,599537500,,
2024-02-08 12:39:02,2025-12-02 14:15:44,Superior Office Services LLC,,,,,INR,Active,false,false,"Plot No-22, Warehouse No-2 MW5",,Mussafah,Abu Dhabi,United Arab Emirates,,overseas,,abinbabu.c@gmail.com,+91,9605685964,,
