#,Domain,Portal Admin Email,PWD,STATUS,Email Licence,Users1,Storage,Users2,MS OFFICE,Users3,Creation Date,Renewal Date
,beithhotel.com,admin@beithhotel.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,06-Aug-21,09-November-2022
,createcap.in,admin@createcap.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,05-Aug-21,05-August-2022
,shaeltrading.com,admin@shaeltradingwll.onmicrosoft.com,,ACTIVE,Basic,10,,2,Standard,2,22-Aug-21,22-August-2023
,radiolemonlive.co.nz,admin@radiolemonlive.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,19-Oct-21,29-October-2022
,almuzahem.com,admin@almuzahem.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,28-Nov-21,14-November-2022
,icapitalllc.com,admin@icapitalllcuae.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,17-Jan-22,26-January-2023
,fastlinecomputers.com,admin@fastlinecomputers.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,22-February-2023
,propartners.group ,admin@propartnersgroup.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,07-Mar-22,08-March-2023
,mvmrhss.com,admin@mvmrhss.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,08-Mar-22,08-March-2023
,archlinkgroup.com,admin@archlinkgroup.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,20-Apr-22,08-March-2023
,wyletsinteriors.com,admin@wylets.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,01-Apr-22,29-March-2023
,aicl-india.com,admin@aiclindia.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,25-Apr-22,20-April-2023
,nalakathgranites.com,admin@nalakathgranites.onmicrosoft.com,,ACTIVE,Basic,36,,0,,,01-May-22,22-April-2023
,panasianbuilders.com,admin@panasianbuilders.onmicrosoft.com,,ACTIVE,Basic,7,,0,,,01-Jun-22,01-June-2022
,acuae.org,admin@acuae.onmicrosoft.com,,ACTIVE,Basic,25,Ex Online  P2,1,,,24-Jun-22,24-June-2023
,consolemct.com,admin@consolemct.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,23-Jul-22,22-July-2023
,newvisiontrading.qa,admin@newvisiontrading.onmicrosoft.com,,ACTIVE,Basic,4,,0,,,16-Aug-22,16-August-2023
,ansarhospital.com,admin@ansarhospital.onmicrosoft.com,,ACTIVE,Basic,9,,0,,,,07-January-2023
,greentechmiddleeastgroup.com ,admin@greentechmec.onmicrosoft.com,,ACTIVE,Basic,8,,0,,,,01-October-2022
,karas-qatar.com,admin@karasqatar.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,,11-October-2022
,ademstravel.com,admin@ademstravel.onmicrosoft.com,,ACTIVE,Basic,16,,0,,,,03-December-2022
,magmalive.com,admin@magmalive.onmicrosoft.com,,ACTIVE,Basic,8,,0,,,,27-December-2022
,ariesglobal.qa,admin@ariesglobalqatar.onmicrosoft.com,,ACTIVE,Basic,23,,1,Standard,1,,28-December-2022
,alego.in,admin@alegogroup.onmicrosoft.com,,ACTIVE,Basic,13,,0,,,,04-January-2023
,sosauh.com,admin@sosauh.onmicrosoft.com,,ACTIVE,Basic,9,,0,,,,18-January-2023
,rkcustomuae.com,admin@rkcustom.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,,24-January-2023
,salalah-foodstuff.com,admin@salalahfoodstuff.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,,01-February-2023
,infinitecochin.in,admin@infinitesolutionsin.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,09-March-2023
,qspices.in,admin@qspices.onmicrosoft.com,,ACTIVE,Basic,13,,0,,,,27-September-2026
,dakatcomputers.com,admin@dakatcomputers.onmicrosoft.com,,ACTIVE,Basic,21,,0,,,,24-March-2023
,techlid.ae,admin@techlidae.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,,27-May-2023
,sosittrading.com,admin@sosprintae.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,,09-June-2023
,pageantsgroup.com,admin@PAGEANTSgroup.onmicrosoft.com,,ACTIVE,Basic,13,Ex Online  P2,3,,,,10-September-2023
,rationalstarts.com,admin@rationalstarts.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,29-October-2023
,alsahibtradingqatar.com,admin@alsahibtrading.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,07-November-2023
,prounionksa.com,admin@prounionksa.onmicrosoft.com,,ACTIVE,Basic,11,,0,,,,14-December-2023
,prounionksa.com,admin@prounion365apps.onmicrosoft.com,,ACTIVE,,1,,1,Apps for Business,1,,09-September-2025
,discoverymetalsfzc.com,admin@discoverymetals.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,20-December-2023
,alfardanjewellers.com,admin@alfardanjewellers.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,21-December-2023
,plutontech.com,admin@plutontech.onmicrosoft.com,,ACTIVE,Basic,4,Ex Online  P2,2,,,,05-January-2024
,zaika.qa,admin@zaikafmcg.onmicrosoft.com,,ACTIVE,Basic,7,,0,,,,28-December-2023
,lessonqatar.com,admin@lessonqatar.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,,07-January-2024
,berentqatar.com,admin@berenttrading.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,07-January-2024
,tokenqatar.com,admin@tokentrading.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,07-January-2024
,gulfflag.com,admin@gulfflagco.onmicrosoft.com,,ACTIVE,Basic,8,,0,,,,08-January-2024
,planx.co.in,admin@planxonline.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,28-January-2024
,majesticbuilders.in,admin@majesticbnd.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,17-March-2024
,thechefroyale.com,admin@thechefroyale.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,,20-February-2024
,veeveekay.com,admin@veeveekay.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,,23-March-2024
,muadala.ae,admin@muadala.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,17-Apr-24,16-April-2025
,aban-ksa.com,admin@abantrading.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,23-Apr-24,23-April-2025
,kasturiserviceshr.com,admin@kasturihr.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,27-May-24,26-May-2025
,loyal-way.com,admin@loyalway.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,27-May-24,26-May-2025
,webarrow.us,admin@webarrowus.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,11-Jun-24,10-June-2025
,arrowexpressbh.com,admin@arrowexpressbh.onmicrosoft.com,,ACTIVE,Basic,10,Ex Archive Online,2,,,24-Jun-24,23-June-2025
,joyambooken.com,admin@joyambooken.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,09-Jul-24,08-July-2025
,thebadar.co.uk,admin@thebadar.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,15-Jul-24,14-July-2025
,mechwiseparking.com,admin@mechwiseparking.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,19-Jul-24,18-July-2025
,energyrootsqa.com,admin@energyrootsqa.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,23-Jul-24,22-July-2025
,webenlive.com,admin@webenlive.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,03-Aug-24,18-June-2026
,meptrend.com,admin@meptrend.onmicrosoft.com,,ACTIVE,Basic,26,,0,Apps for Business,1,21-Aug-24,21-August-2025
,m365.meptrend.com,admin@m365meptrend.onmicrosoft.com,,ACTIVE,,0,,5,Apps for Business,5,22-Aug-24,22-August-2025
,kanothgt.com,admin@kanothgt.onmicrosoft.com,,ACTIVE,Basic No Teams,4,,0,,,06-Sep-24,06-September-2025
,mbjqatar.com,admin@mbjqatar.onmicrosoft.com,,ACTIVE,Basic,7,,0,,,18-Sep-24,18-September-2025
,maritime-ls.com,admin@maritimels.onmicrosoft.com,,ACTIVE,Basic,2,,0,,,23-Sep-24,23-September-2025
,trendoscookzone.com,admin@trendoscookzone.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,29-Sep-24,29-September-2025
,rtgsonline.com,admin@rtgsonline.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,29-Sep-24,29-September-2025
,eagle-autoparts.com,admin@eagleautopartsellora.onmicrosoft.com,,ACTIVE,Basic No Teams,3,,0,,,18-Oct-24,18-October-2025
,bravosports.qa,admin@bravosportsqa.onmicrosoft.com,,CANCELLED,Basic No Teams,1,,0,,,11-Nov-24,11-November-2025
,4dxcomputers.com,admin@4dxcomputers.onmicrosoft.com,,ACTIVE,Basic No Teams,7,,0,,,12-Nov-24,12-November-2025
,bcrltduk.com,admin@bcrltduae.onmicrosoft.com,,SIGN IN BLOCKED,Basic,2,,0,,,13-Nov-24,13-November-2025
,mygulfex.com,admin@mygulfex.onmicrosoft.com,,ACTIVE,Basic No Teams,3,,0,,,29-Nov-24,29-November-2025
,woodenbox.ae,admin@woodenbox.onmicrosoft.com,,ACTIVE,Basic No Teams,4,,0,,,14-Dec-24,14-December-2025
,ibrahemlawfirm.com,admin@ibrahemlawfirm.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,15-Dec-24,15-December-2025
,beachheritage.com,admin@beachheritage.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,17-Dec-24,17-December-2025
,rtn.ae,admin@rtnae.onmicrosoft.com,,ACTIVE,Basic No Teams,4,,0,,,18-Dec-24,18-December-2025
,albaiqatar.com,admin@albaiqatar.onmicrosoft.com,,ACTIVE,Basic No Teams,6,,0,,,30-Dec-24,30-December-2025
,medhubuae.com,admin@medhubuae.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,31-Dec-24,31-December-2025
,apt-ksa.com,admin@AbanPremiumTrading.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,15-Jan-25,15-January-2026
,satcoqatar.com,admin@satcoqatar.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,16-Jan-25,16-January-2026
,sahmaldhahbi.com,admin@alsahmaldhahbi.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,11-Feb-25,11-February-2026
,stalwartfm.co,admin@stalwartfm.onmicrosoft.com,,ACTIVE,Basic,13,,0,,,11-Feb-25,11-February-2026
,boltecksa.com,admin@boltecksa.onmicrosoft.com,,ACTIVE,Basic,7,,0,,,19-Feb-25,19-February-2026
,malabarholidays.in,admin@malabarholidays.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,25-Feb-25,25-February-2026
,alegofire.com,admin@alegofire.onmicrosoft.com,,ACTIVE,Basic No Teams,12,,0,,,17-Apr-25,16-April-2026
,hulul-aljamali.com,admin@hululaljamali.onmicrosoft.com,,ACTIVE,Basic No Teams,5,,0,,,25-Apr-25,24-April-2026
,macroots.in,admin@macrootsystems.onmicrosoft.com,,ACTIVE,Basic No Teams,3,,0,,,25-Apr-25,24-April-2026
,pageantsindustries.com,admin@pageantsindustries.onmicrosoft.com,,ACTIVE,Basic No Teams,2,,0,,,07-May-25,06-May-2026
,zerocglobal.com,admin@zerocglobal.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,23-May-25,22-May-2026
,cpasconsulting.com,admin@cpasconsulting.onmicrosoft.com,,ACTIVE,Basic,8,,0,,,27-May-25,26-May-2026
,thebaggallery.qa,admin@thebaggallery.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,15-Jun-25,01-July-2026
,fantominternational.com,admin@fantomintl.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,07-Jul-25,07-July-2026
,elidegroup.com,admin@elideglobal.onmicrosoft.com,,ACTIVE,Basic No Teams,2,,0,,,27-Aug-25,27-August-2026
,lv-link.com,admin@lvlink.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,27-Aug-25,27-August-2026
,jcgce.com.sa,admin@jcgce.onmicrosoft.com,,ACTIVE,Basic No Teams,2,,0,,,28-Aug-25,27-August-2026
,theplatinagroup.com,admin@theplatinagroup.onmicrosoft.com,,ACTIVE,Basic No Teams,4,,0,,,09-Sep-25,09-September-2026
,365infosec.com,admin@365infosec.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,12-Sep-25,12-September-2026
,lexialine.com,admin@lexialine.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,13-Sep-25,13-September-2026
,lexialinelogistics.com,admin@lexialinelogistics.onmicrosoft.com,,ACTIVE,Basic No Teams,7,,0,,,16-Sep-25,16-September-2026
,nalakath.group,admin@nalakathonline.onmicrosoft.com,,ACTIVE,Basic,1,,0,,,30-Sep-25,27-November-2026
,maxcomgcc.com,admin@maxcomgcc.onmicrosoft.com,,ACTIVE,Basic,9,,0,,,01-Oct-25,01-October-2026
,apexbsksa.com,admin@apexbsksa.onmicrosoft.com,,ACTIVE,Basic,3,,0,,,04-Oct-25,04-October-2026
,vetromech.com,admin@zedtyping.onmicrosoft.com,,ACTIVE,Basic,5,,0,,,05-Oct-25,05-October-2026
,lascauxarabia.com,admin@lascauxarabia.onmicrosoft.com,,ACTIVE,Basic,9,,0,,,09-Oct-25,09-October-2026
,kimshealth.om,admin@kimsh.onmicrosoft.com,,ACTIVE,Apps for Business,2,,0,,,21-Oct-25,21-October-2026
,albaruwaz.com       ,admin@albaruwaz.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,21-Oct-25,21-October-2026
,treeoflifeconsult.com,admin@treeoflifeconsult.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,21-Oct-25,21-October-2026
,totaltrustac.com,admin@totaltrustac.onmicrosoft.com,,ACTIVE,Basic No Teams,3,,0,,,28-Oct-25,28-October-2026
,alfarchbuilders.com,admin@alfarchbuilders.onmicrosoft.com,,ACTIVE,Basic No Teams,1,,0,,,29-Oct-25,29-October-2026
,ecoteq.ae,admin@ecoteqmep.onmicrosoft.com,,ACTIVE,Basic,18,Apps for Business,3,,,31-Oct-25,31-October-2026
